,Unnamed: 0,id,keyword,location,text,target
33,71,102,accident,"St. Louis, MO",#stlouis #caraccidentlawyer Speeding Among Top Causes of Teen Accidents https://t.co/k4zoMOF319 https://t.co/S2kXVM0cBA Car Accident teeÛ_,0
34,72,104,accident,"Walker County, Alabama",Reported motor vehicle accident in Curry on Herman Rd near Stephenson involving an overturned vehicle. Please use... http://t.co/YbJezKuRW1,1
35,73,105,accident,Australia,BigRigRadio Live Accident Awareness,1
36,74,107,accident,North Carolina,I-77 Mile Marker 31 South Mooresville  Iredell Vehicle Accident Ramp Closed at 8/6 1:18 PM,1
37,76,110,accident,Norf Carolina,'By accident' they knew what was gon happen https://t.co/Ysxun5vCeh,0
38,77,112,accident,"San Mateo County, CA",Traffic accident N CABRILLO HWY/MAGELLAN AV MIR (08/06/15 11:03:58),1
39,78,113,accident,North Carolina,I-77 Mile Marker 31 to 40 South Mooresville  Iredell Vehicle Accident Congestion at 8/6 1:18 PM,1
40,79,114,accident,"Njoro, Kenya",the pastor was not in the scene of the accident......who was the owner of the range rover ?,1
41,81,118,accident,Your Sister's Bedroom,I was in a horrible car accident this past Sunday. I'm finally able to get around. Thank you GOD??,1
42,83,120,accident,"Arlington, TX",#TruckCrash Overturns On #FortWorth Interstate http://t.co/Rs22LJ4qFp Click here if you've been in a crash&gt;http://t.co/Ld0unIYw4k,1
43,84,121,accident,"South Bloomfield, OH",Accident in #Ashville on US 23 SB before SR 752 #traffic http://t.co/hylMo0WgFI,1
44,86,128,accident,"New Hanover County, NC",FYI CAD:FYI: ;ACCIDENT PROPERTY DAMAGE;NHS;999 PINER RD/HORNDALE DR,1
45,87,129,accident,Maldives,RT nAAYf: First accident in years. Turning onto Chandanee Magu from near MMA. Taxi rammed into me while I was halfway turned. Everyone confÛ_,1
46,88,130,accident,"Manchester, NH",Accident left lane blocked in #Manchester on Rt 293 NB before Eddy Rd stop and go traffic back to NH-3A delay of 4 mins #traffic,1
47,89,131,accident,"Wilmington, NC",;ACCIDENT PROPERTY DAMAGE; PINER RD/HORNDALE DR,1
48,91,133,accident,"New Hanover County, NC",FYI CAD:FYI: ;ACCIDENT PROPERTY DAMAGE;WPD;1600 S 17TH ST,1
49,93,135,accident,global,Aashiqui Actress Anu Aggarwal On Her Near-Fatal Accident http://t.co/6Otfp31LqW,1
50,94,136,accident,Alberta | Sask. | Montana,Suffield Alberta Accident https://t.co/bPTmlF4P10,1
51,95,137,accident,Charlotte,9 Mile backup on I-77 South...accident blocking the Right 2 Lanes at Exit 31 Langtree Rd...consider NC 115 or NC 150 to NC 16 as alternate,1
52,96,138,accident,"Baton Rouge, LA",Has an accident changed your life? We will help you determine options that can financially support life care plans and on-going treatment.,0
53,97,139,accident,"Hagerstown, MD",#BREAKING: there was a deadly motorcycle car accident that happened to #Hagerstown today. I'll have more details at 5 @Your4State. #WHAG,1
54,98,141,accident,"Gloucestershire , UK",@flowri were you marinading it or was it an accident?,0
55,100,144,accident,UK,.@NorwayMFA #Bahrain police had previously died in a road accident they were not killed by explosion https://t.co/gFJfgTodad,1
56,101,145,accident,"Nairobi, Kenya",I still have not heard Church Leaders of Kenya coming forward to comment on the accident issue and disciplinary measures#ArrestPastorNganga,0
57,102,146,aftershock,Instagram - @heyimginog ,@afterShock_DeLo scuf ps live and the game... cya,0
58,103,149,aftershock,304,"'The man who can drive himself further once the effort gets painful is the man who will win.' 
Roger Bannister",0
59,104,151,aftershock,Switzerland,320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/yNXnvVKCDA | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #IcesÛ_ http://t.co/weQPesENku,0
60,105,153,aftershock,304,'There is no victory at bargain basement prices.' Dwight David Eisenhower,0
61,106,156,aftershock,US,320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/vAM5POdGyw | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #IcesÛ_ http://t.co/zEVakJaPcz,0
62,107,157,aftershock,304,'Nobody remembers who came in second.' Charles Schulz,0
63,108,158,aftershock,Instagram - @heyimginog ,@afterShock_DeLo im speaking from someone that is using a scuf on xb1 most of them people will end up getting on for ps also.,0
64,109,159,aftershock,304,'The harder the conflict the more glorious the triumph.' Thomas Paine,0
65,111,161,aftershock,Somewhere Only We Know ?,So i guess no one actually wants any free Aftershock TC.....,0
66,113,163,aftershock,Belgium,Aftershock https://t.co/xMWODFMtUI,0
67,114,164,aftershock,Switzerland,320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/M4JDZMGJoW | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #IcesÛ_ http://t.co/n0uhAsfkBv,0
68,115,165,aftershock,US,320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/vAM5POdGyw | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #IcesÛ_ http://t.co/zEVakJaPcz,0
69,117,170,aftershock,dope show,@KJForDays I'm seeing them and Issues at aftershock ??,0
70,118,171,aftershock,Switzerland,320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/THyzOMVWU0 | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #IcesÛ_ http://t.co/83jOO0xk29,0
71,119,172,aftershock,Switzerland,320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/THyzOMVWU0 | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #IcesÛ_ http://t.co/83jOO0xk29,0
72,120,173,aftershock,"Oshawa, Canada",#WisdomWed BONUS - 5 Minute Daily Habits that could really improve your life. How many do you already do? #lifehacks http://t.co/TBm9FQb8cW,0
73,121,174,aftershock,Baker City Oregon,Aftershock: Protect Yourself and Profit in the Next Global Financial Meltdown by David Wiedemer http http://t.co/WZTz4hgMVq,0
74,124,178,aftershock,United States,"&gt;&gt; $15 Aftershock : Protect Yourself and Profit in the Next Global Financial... ##book http://t.co/f6ntUc734Z
@esquireattire",0
75,125,180,aftershock,304,Sometimes you face difficulties not because you're doing something wrong but because you're doing something right. - Joel Osteen,0
76,126,182,aftershock,304,'The only thing that stands between you and your dream is the will to try and the belief that it is actually possible.' - Joel Brown,0
77,127,183,aftershock,marysville ca ,Praise God that we have ministry that tells it like it is!!! #now #wdyouth #biblestudy https://t.co/UjK0e5GBcC,0
78,128,184,aftershock,304,'Remembering that you are going to die is the best way I know to avoid the trap of thinking you have something to lose.' ÛÒ Steve Jobs,0
79,129,185,aftershock,"Hermosa Beach, CA",Tried orange aftershock today. My life will never be the same,0
80,133,193,aftershock,304,People who say it cannot be done should not interrupt those who are doing it. ÛÒ George Bernard Shaw,0
81,134,194,aftershock,304,'The first man gets the oyster the second man gets the shell.' Andrew Carnegie,0
82,136,196,airplane%20accident,"19.600858, -99.047821",Experts in France begin examining airplane debris found on Reunion Island: French air accident experts o... http://t.co/YVVPznZmXg #news,1
83,137,197,airplane%20accident,Pennsylvania,Strict liability in the context of an airplane accident: Pilot error is a common component of most aviation cr... http://t.co/6CZ3bOhRd4,1
84,138,198,airplane%20accident,"Salt Lake City, Utah",@crobscarla your lifetime odds of dying from an airplane accident are 1 in 8015.,0
85,139,199,airplane%20accident,"Palo Alto, CA",Experts in France begin examining airplane debris found on Reunion Island: French air accident experts on Wedn... http://t.co/bKpFpOGySI,1
86,141,203,airplane%20accident,"Spain but Opa-Locka, FL",family members of osama bin laden have died in an airplane accident how ironic ?????? mhmmm gov shit i suspect,1
87,142,204,airplane%20accident,"Jaipur, India",Man Goes into Airplane Engine Accident: http://t.co/TYJxrFd3St via @YouTube,1
88,143,205,airplane%20accident,Hyderabad Telangana INDIA,Horrible Accident  Man Died In Wings of Airplane (29-07-2015) http://t.co/i7kZtevb2v,1
89,144,208,airplane%20accident,"Eagle Pass, Texas",A Cessna airplane accident in Ocampo Coahuila Mexico on July 29 2015 killed four men including a State of Coahuila government official.,1
90,145,209,airplane%20accident,bangalore,#Horrible #Accident Man Died In Wings Airplane (29-07-2015) #WatchTheVideo http://t.co/p64xRVgJIk,1
91,146,210,airplane%20accident,Financial News and Views,Experts in France begin examining airplane debris found on Reunion Island http://t.co/LsMx2vwr3J French air accident experts on WednesdayÛ_,1
92,148,212,airplane%20accident,Indonesia,#KCA #VoteJKT48ID mbataweel: #RIP #BINLADEN Family members who killed in an airplane's accident,1
93,149,213,airplane%20accident,y(our) boyfriends legs ,I almost sent my coworker nudes on accident thank god for airplane mode,0
94,150,215,airplane%20accident,"New Mexico, USA",@mickinyman @TheAtlantic That or they might be killed in an airplane accident in the night a car wreck! Politics at it's best.,0
95,151,216,airplane%20accident,Somewhere Out There,Experts in France begin examining airplane debris found on Reunion Island: French air accident experts on... http://t.co/TagZbcXFj0 #MLB,1
96,153,219,airplane%20accident,Mumbai india,Horrible Accident |  Man Died In Wings of AirplaneåÊ(29-07-2015) http://t.co/wq3wJsgPHL,1
97,154,220,airplane%20accident,sri lanka,Horrible Accident Man Died In Wings of Airplane (29-07-2015) http://t.co/TfcdRONRA6,1
98,155,221,airplane%20accident,Not a U.S resident,Usama bin Ladins family dead in airplane crash. Naturally no accident.,1
99,157,225,airplane%20accident,"Lehigh Valley, PA",Strict liability in the context of an airplane accident - http://t.co/gibyQHhKpk,1
100,158,226,airplane%20accident,Canada,DTN Brazil: Experts in France begin examining airplane debris found on Reunion Island: French air accident exp... http://t.co/M9IG3WQ8Lq,1
101,160,231,airplane%20accident,Thrissur,Horrible Accident Man Died In Wings Of ÛÏAirplaneÛ 29-07-2015. WTF You CanÛªt Believe Your EYES ÛÒ... http://t.co/6fFyLAjWpS,1
102,161,232,airplane%20accident,Havenford,"+ Nicole Fletcher one of a victim of crashed airplane few times ago. 

The accident left a little bit trauma for her. Although she's 

+",1
103,162,235,airplane%20accident,India,OMG Horrible Accident Man Died in Wings of Airplane. http://t.co/xDxDPrcPnS,1
104,163,237,airplane%20accident,92,"#OMG! I don't believe this. #RIP bro
#AirPlane #Accident #JetEngine #TurboJet #Boing #G90 http://t.co/KXxnSZp6nk",1
105,165,240,airplane%20accident,Israel,I had a airplane accident.,1
106,166,241,airplane%20accident,Fashion Heaven. IG: TMId_,My phone looks like it was in a car ship airplane accident. Terrible,0
107,167,242,airplane%20accident,"San Francisco, CA",Statistically I'm at more of risk of getting killed by a cop than I am of dying in an airplane accident.,0
108,168,243,airplane%20accident,italy,airplane crashes on house in Colombia 12 people die in accident https://t.co/ZhJlfLBHZL,1
109,169,244,airplane%20accident,nyc,The shooting or the airplane accident  https://t.co/iECc1JDOub,1
110,170,245,airplane%20accident,Toronto,Could a drone cause an airplane accident? Pilots worried about use of drones esp. in close vicinity of airports http://t.co/kz35rGngJF #,1
111,172,247,ambulance,Jackson,http://t.co/AY6zzcUpnz Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/sC9dNS41Mc,1
112,173,248,ambulance,New York / Worldwide,Two air ambulances on scene of serious crash between two cars and lorry in ... - http://t.co/9pFEaQeSki http://t.co/fntG70rnkx | #EMSNeÛ_,1
113,175,251,ambulance,"New Orleans, LA",Leading emergency services boss welcomes new ambulance charity http://t.co/Mj2jQ2pSv6,0
114,176,252,ambulance,West Wales,Anyone travelling Aberystwyth-Shrewsbury right now there's been an incident. Services at a halt just outside Shrews. Ambulance on scene.,1
115,178,254,ambulance,Happily Married with 2 kids ,AMBULANCE SPRINTER AUTOMATIC FRONTLINE VEHICLE CHOICE OF 14 LEZ COMPLIANT | eBay http://t.co/4evTTqPEia,0
116,179,256,ambulance,"Cambridge, MA",New Nanotech Device Will Be Able To Target And Destroy Blood Clots http://t.co/HFy5V3sLBB,0
117,180,258,ambulance,Arizona ,@20skyhawkmm20 @traplord_29 @FREDOSANTANA300 @LilReese300 it was hella crazy 3 fights an ambulance and a couple mosh pits ??,1
118,181,260,ambulance,Mumbai,If I get run over by an ambulance am I lucky? #justsaying #randomthought,0
119,183,262,ambulance,Amsterdam,http://t.co/7xGLah10zL Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/THmblAATzP,1
120,184,263,ambulance,"Swindon,England ",@TanSlash waiting for an ambulance,0
121,186,265,ambulance,Happily Married with 2 kids ,AMBULANCE SPRINTER AUTOMATIC FRONTLINE VEHICLE CHOICE OF 14 LEZ COMPLIANT | eBay http://t.co/q8IVrzOJZv,0
122,188,267,ambulance,"Williamstown, VT",@TheNissonian @RejectdCartoons nissan are you ok do you need medical assistance i can call an ambulance if you need me to,0
123,189,268,ambulance,"North Carolina, USA",EMS1: NY EMTs petition for $17 per hour Û÷minimum wageÛª http://t.co/4oa6SWlxmR #ems #paramedics #ambulance,0
124,191,270,ambulance,Karachi,Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/3bRme6Sn4t,1
125,192,271,ambulance,Happily Married with 2 kids ,AMBULANCE SPRINTER AUTOMATIC FRONTLINE VEHICLE CHOICE OF 14 LEZ COMPLIANT | eBay http://t.co/UJrX9kgawp,0
126,193,272,ambulance,Happily Married with 2 kids ,AMBULANCE SPRINTER AUTOMATIC FRONTLINE VEHICLE CHOICE OF 14 LEZ COMPLIANT | eBay http://t.co/Kp2Lf4AuTe,0
127,194,273,ambulance,Loveland Colorado,@Kiwi_Karyn Check out what's in my parking lot!! He said that until last year it was an ambulance in St Johns. http://t.co/hPvOdUD7iP,0
128,195,274,ambulance,|| c h i c a g o ||,when you don't know which way an ambulance is coming from &lt;&lt;,1
129,197,277,ambulance,L. A.,http://t.co/pWwpUm6RBj Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/ySpON4d6Qo,1
130,199,280,ambulance,Canada,ÛÏ@LeoBlakeCarter: This dog thinks he's an ambulance ?????? http://t.co/MG1lpGr0RMÛ@natasha_rideout,0
131,200,281,ambulance,VISIT MY YOUTUBE CHANNEL.,HAPPENING NOW - HATZOLAH EMS AMBULANCE RESPONDING WITH DUAL SIRENS ANDÛ_ https://t.co/SeK6MQ6NJF,0
132,201,283,ambulance,Lexington,http://t.co/FueRk0gWui Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/Mv7GgGlmVc,1
133,203,287,ambulance,USA,Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/TH9YwBbeet #worldNews,1
134,204,289,ambulance,"Hannover, Germany",Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/X2Qsjod40u #worldnews,1
135,207,293,ambulance,Playa,http://t.co/J8TYT1XRRK Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/9d4nAzOI94,1
136,208,294,ambulance,"Davidson, NC",People who try to j-walk while an ambulance is passing... I hate you.,0
137,209,296,annihilated,Higher Places,The episode where Trunks annihilated Freiza is the cleanest shit ever. He showed that nigga no mercy.,0
138,210,297,annihilated,"Horsemind, MI",THEY SHALL BE ANNIHILATED AND ALL OF THEIR PETEBESTS DESSICATED AND LAID BARE. THEN YOU SHALL KNEEL BEFORE ME.,0
139,211,298,annihilated,"New York, NY",Uribe just annihilated that baseball. #Mets,0
140,212,299,annihilated,Boksburg,@marksmaponyane Hey!Sundowns were annihilated in their previous meeting with Celtic.Indeed its an improvement.,0
141,216,307,annihilated,"V-RP @OZRP_ ?MV, AU, R18+?",*to Luka* They should all die! All of them! Everything annihilated! - Alois Trancy,0
142,217,309,annihilated,"Greater Manchester, UK",@ACarewornHeart Have a good un fella sorry I won't be there to get annihilated with you :(,0
143,218,310,annihilated,Boston,Cop pulls drunk driver to safety SECONDS before his car is hit by train. http://t.co/tHrhKHOGcUåÊ http://t.co/tZSZmF2qxE via @ViralSpell,1
144,221,314,annihilated,The Canopy Kingdom,BOOM! Your country was just entirely annihilated by a hÛ_ ÛÓ Britain https://t.co/IrFCn71sZv,0
145,223,316,annihilated,USA,One thing for sure-God has promised Israel will not be annihilated. But...the horror of Iran w/nukes. https://t.co/xn09Mx6sxy,0
146,226,321,annihilated,the own zone layer ,day 1 of tryouts went good minus the fact I stopped quickly to get a short ball and Annihilated my toenail injury even more,0
147,227,322,annihilated,London,"During the 1960s the oryx a symbol of the Arabian Peninsula were annihilated by hunters. 
http://t.co/yangEQBUQW http://t.co/jQ2eH5KGLt",1
148,228,327,annihilated,Trancy Manor,(To Luka) 'They should all die! All of them! Everything annihilated!' - Alois Trancy -,0
149,230,329,annihilated,South 37,@PhilipDuncan @breakfastone People 'annihilated by last nights weather'... Really Philip thought you would have forecast that...,1
150,232,331,annihilated,"West Lancashire, UK.",@stormbeard @steel_lord I seen Judas Priest in 2005 when Rob came back; Scorpions as support. Fucking annihilated the place. Astonishing gig,0
151,233,332,annihilated,PA,Officially skipping out on #FantasticFour/#Fant4stic/whatever the hashtag is. It's getting ANNIHILATED in reviews. Bummer.,0
152,235,335,annihilated,Û¢ Views From The Six Û¢,just completely annihilated cech with paul keegan what a time to be alive,0
153,237,337,annihilated,University of Toronto,@SirBrandonKnt exactly. That's why the lesnar/cena match from summerslam last year was so great because Brock annihilated a guy who's,0
154,239,340,annihilated,Swaning Around,"ANNIHILATED IN DAMASCUS: SYRIAN ARMY GRINDS Û÷ALLOOSH AND HIS GANG INTO THE MANURE PILE
http://t.co/7rakhP3bWm",1
155,241,344,annihilated,London,A fun filled happy-hour at Simmons bar in Camden with this handsome one ?? (I got annihilated apart from this game) http://t.co/4JNo677Zkv,0
156,242,345,annihilated,Albany/NY,Juanny Beisbol Sr. Annihilated that ball. #LGM,0
157,243,346,annihilation,"California, USA",@rvfriedmann Hell is just a fraction of his belief of total annihilation destruction of USA @LodiSilverado @ritzy_jewels,1
158,247,352,annihilation,Wild Wild Web,annihilating quarterstaff of annihilation,1
159,248,353,annihilation,Subconscious LA,World Annihilation vs Self Transformation http://t.co/pyehwodWun Aliens Attack to Exterminate Humans http://t.co/pB2N77nSKz,0
160,249,354,annihilation,Spain,:StarMade: :Stardate 3: :Planetary Annihilation:: http://t.co/I2hHvIUmTm via @YouTube,1
161,251,356,annihilation,CA physically- Boston Strong?,U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... https://t.co/sW1sBua3mN via @Change,1
162,252,358,annihilation,"Yeezy Taught Me , NV",@KimKardashian can you please sign and share this petition to save wild horses in Arizona. http://t.co/3tsSXPHuFE ????,0
163,254,361,annihilation,CA physically- Boston Strong?,@TheEllenShow Please check into Salt River horses help stop the annihilation about to happen without 54000 more signatures.change .org Thx,0
164,255,363,annihilation,United States,Are souls punished withåÊannihilation? http://t.co/c1QXJWeQQU http://t.co/Zhp0SOwXRy,0
165,258,368,annihilation,"Rock Hill, SC",I reject the laws of the misguided false prophets imprison nations fueling self annihilation,0
166,259,370,annihilation,"Coolidge, AZ",U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... https://t.co/MatIJwkzbh via @Change,0
167,260,371,annihilation,Republic of Texas,"The annihilation of Jeb Christie &amp; Kasich is less than 24 hours away..
Please God allow me at least one more full day...",0
168,263,380,annihilation,"Phoenix, AZ",Hey #AZ: Sign this petition to save the #WildHorses @ #TantoNationalForest! A @RollingStones sing-a-long is in order: http://t.co/WM5l8PJ2iY,0
169,264,381,annihilation,"Ljubljana, Slovenia",Stop the Annihilation of the Salt River Wild Horses! http://t.co/wVobVVtXKg via @Change,1
170,265,383,annihilation,Connecticut,@SonofBaldwin and he's the current Nova in the bookslast I checked..he was tied into the books in 2011 after Rider died during Annihilation,0
171,266,384,annihilation,"Tacoma,Washington",U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... https://t.co/x2Wn7O2a3w via @Change,0
172,269,390,annihilation,Subconscious LA,World Annihilation vs Self Transformation http://t.co/pyehwodWun Aliens Attack to Exterminate Humans http://t.co/8jxqL8Cv8Z,1
173,270,393,annihilation,BIG D  HOUSTON/BOSTON/DENVER,U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... https://t.co/0fekgyBY5F via @Change,0
174,271,394,annihilation,"Chandler, AZ",U.S National Park Services Tonto National Forest: Stop the Annihilation of the Salt River Wild Horse... http://t.co/SB5R7ShcCJ via @Change,1
175,272,396,apocalypse,ColoRADo,I'm gonna fight Taylor as soon as I get there.,0
176,273,397,apocalypse,sindria,ohH NO FUKURODANI DIDN'T SURVIVE THE APOCALYPSE BOKUTO FEELS HORRIBLE  my poor boy my ppor child,1
177,276,402,apocalypse,Texas,Apocalypse please,0
178,277,404,apocalypse,"Elk Grove, CA, USA",Another hour! It's August 05 2015 at 08:02PM Here's Red Rover Zombie Apocalypse 2014! http://t.co/cf9e6TU3g7 #internetradio #collegeradiÛ_,1
179,278,406,apocalypse,Texas,@HoneyBunzGem @primalkitchen I feel like me doing a pull-up is one of the stages of the Apocalypse.,0
180,280,409,apocalypse,The Shire,But if it's the apocalypse lol gf m8,0
181,281,410,apocalypse,"Austin, TX",I know it's a question of interpretation but this is a sign of the apocalypse.  I called it https://t.co/my8q1uWIjn,1
182,282,412,apocalypse,Oakland,Julie + R is the apocalypse version of Romeo + Juliet #warmbodies,0
183,285,418,apocalypse,Albuquerque,And so it begins.. day one of the snow apocalypse,1
184,287,420,apocalypse,"Buenos Aires, Argentina",candylit: Imagine sarumi in a zombie apocalypse Fighting back to back Heart to heart conversations over the... http://t.co/xIZkjffF29,0
185,290,424,apocalypse,"San Antonio-ish, TX",Dad bought a DVD that looks like a science doc on the front but I read the back and it's actually about the impending biblical apocalypse,1
186,291,426,apocalypse,San Francisco,@alexandrapullin It is indeed. If the apocalypse comes this week I know where I'll be :),0
187,292,427,apocalypse,"Oregon, USA",GO LOOK AT GRIZZLY PEAK RIGHT NOW... It looks like the beginning of an dystopian apocalypse movie,0
188,293,429,apocalypse,"Harlingen, TX",My niece just asked me 'would you be scared if there was an apocalypse here?' ????,0
189,294,432,apocalypse,Buffalo NY,There's a Storm over Cairo in the latest 'X-Men Apocalypse' set photo https://t.co/fS012trUDG via @YahooTV,1
190,298,438,apocalypse,Las Vegas,I know where to go when the zombies take over!! http://t.co/hUTHXlkyxy,0
191,302,444,apocalypse,Tokyo,Enjoyed live-action Attack on Titan but every time I see posters I'm reminded how freshly clean and coiffed everyone is in the apocalypse.,0
192,304,446,armageddon,"California, United States",#PBBan (Temporary:300) avYsss @'aRmageddon | DO NOT KILL | FLAGS ONLY | Fast XP' for Reason,0
193,305,447,armageddon,"California, United States",#PBBan (Temporary:300) Russaky89 @'aRmageddon | DO NOT KILL | FLAGS ONLY | Fast XP' for Reason,0
194,306,448,armageddon,#FLIGHTCITY UK  ,((OFFICIAL VID)) #DoubleCups &gt;&gt; https://t.co/lfKMTZaEkk &gt;&gt; @TrubGME Prod @THISIZBWRIGHT &gt;&gt; #ARMAGEDDON,0
195,309,452,armageddon,"Alphen aan den Rijn, Holland",Bed time. Don't wake me up unless revolution or Armageddon start.,0
196,311,454,armageddon,Wrigley Field,@KatieKatCubs you already know how this shit goes. World Series or Armageddon.,0
197,313,456,armageddon,probably the strip club,"//im gonna beat armageddon as Hsu Hao ????
just got a flawless on my first try",0
198,314,457,armageddon,Canada,@ENews Ben Affleck......I know there's a wife/kids and other girls but I can't help it. I've loved him since Armageddon #eonlinechat,0
199,315,459,armageddon,England,'If I'd have had a long coat to hand I'd have worn it. The certainty of armageddon bears a sense of occasion.',0
